iter	Passed	Remaining
922	35023	40866
923	35060	40827
924	35098	40790
925	35136	40752
926	35173	40713
927	35211	40675
928	35249	40637
929	35287	40599
930	35324	40560
931	35362	40522
932	35400	40485
933	35438	40446
934	35475	40407
935	35512	40369
936	35549	40329
937	35587	40292
938	35624	40253
939	35661	40213
940	35698	40174
941	35734	40134
942	35771	40096
943	35810	40058
944	35847	40020
945	35885	39982
946	35921	39942
947	35959	39904
948	35996	39865
949	36034	39827
950	36073	39791
951	36110	39751
952	36147	39712
953	36185	39675
954	36222	39636
955	36259	39597
956	36298	39560
957	36334	39520
958	36373	39483
959	36411	39445
960	36448	39407
961	36486	39368
962	36524	39331
963	36561	39292
964	36599	39254
965	36637	39216
966	36675	39178
967	36716	39144
968	36761	39114
969	36799	39075
970	36836	39037
971	36875	38999
972	36912	38961
973	36949	38922
974	36987	38884
975	37026	38847
976	37063	38808
977	37102	38772
978	37139	38732
979	37180	38698
980	37218	38660
981	37256	38621
982	37292	38582
983	37329	38543
984	37366	38504
985	37404	38467
986	37443	38430
987	37480	38390
988	37517	38351
989	37554	38312
990	37590	38273
991	37626	38233
992	37661	38192
993	37695	38150
994	37730	38109
995	37764	38068
996	37800	38027
997	37838	37989
998	37872	37948
999	37907	37907
1000	37942	37866
1001	37977	37825
1002	38011	37783
1003	38046	37742
1004	38081	37702
1005	38113	37658
1006	38152	37621
1007	38192	37585
1008	38229	37547
1009	38265	37507
1010	38302	37469
1011	38340	37430
1012	38377	37392
1013	38415	37354
1014	38452	37316
1015	38491	37278
1016	38528	37240
1017	38567	37203
1018	38605	37166
1019	38644	37128
1020	38681	37090
1021	38719	37052
1022	38756	37013
1023	38793	36975
1024	38831	36937
1025	38870	36900
1026	38907	36861
1027	38946	36824
1028	38983	36785
1029	39019	36746
1030	39057	36708
1031	39094	36670
1032	39132	36632
1033	39171	36595
1034	39207	36555
1035	39244	36516
1036	39280	36477
1037	39317	36438
1038	39355	36401
1039	39393	36362
1040	39429	36323
1041	39466	36284
1042	39503	36246
1043	39540	36207
1044	39579	36170
1045	39619	36135
1046	39662	36101
1047	39699	36063
1048	39742	36029
1049	39781	35993
1050	39823	35958
1051	39859	35919
1052	39896	35880
1053	39933	35842
1054	39970	35803
1055	40008	35765
1056	40047	35728
1057	40084	35689
1058	40121	35651
1059	40158	35611
1060	40195	35573
1061	40232	35535
1062	40269	35496
1063	40307	35458
1064	40345	35420
1065	40382	35381
1066	40419	35343
1067	40457	35305
1068	40493	35266
1069	40530	35227
1070	40569	35190
1071	40606	35152
1072	40644	35113
1073	40682	35076
1074	40719	35037
1075	40756	34999
1076	40795	34962
1077	40834	34924
1078	40870	34885
1079	40908	34848
1080	40945	34809
1081	40982	34770
1082	41019	34732
1083	41058	34694
1084	41094	34656
1085	41132	34618
1086	41169	34578
1087	41205	34539
1088	41241	34500
1089	41278	34461
1090	41315	34423
1091	41355	34386
1092	41391	34348
1093	41428	34309
1094	41465	34270
1095	41502	34231
1096	41538	34192
1097	41579	34157
1098	41617	34119
1099	41654	34080
1100	41691	34042
1101	41728	34003
1102	41764	33964
1103	41803	33927
1104	41840	33889
1105	41877	33850
1106	41914	33811
1107	41951	33773
1108	41988	33734
1109	42027	33697
1110	42063	33658
1111	42100	33619
1112	42138	33581
1113	42176	33544
1114	42213	33505
1115	42250	33466
1116	42286	33427
1117	42322	33388
1118	42361	33351
1119	42400	33314
1120	42442	33279
1121	42480	33242
1122	42517	33203
1123	42555	33165
1124	42593	33127
1125	42630	33089
1126	42666	33050
1127	42704	33012
1128	42742	32974
1129	42780	32936
1130	42817	32898
1131	42854	32859
1132	42890	32821
1133	42929	32784
1134	42967	32746
1135	43005	32708
1136	43042	32669
1137	43079	32631
1138	43117	32593
1139	43153	32554
1140	43190	32515
1141	43226	32476
1142	43264	32438
1143	43301	32400
1144	43339	32362
1145	43378	32325
1146	43415	32287
1147	43452	32249
1148	43489	32210
1149	43526	32171
1150	43564	32134
1151	43603	32096
1152	43640	32058
1153	43677	32019
1154	43714	31981
1155	43751	31943
1156	43789	31905
1157	43827	31867
1158	43865	31829
1159	43903	31792
1160	43940	31753
